test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
FPI_001,false_premise_induction,3,?,0.5,8,0,1,0,9,0,61.276,
FPI_002,false_premise_induction,3,?,0.5,8,0,1,0,9,0,66.107,
FPI_003,false_premise_induction,3,?,0.5,8,1,1,1,13,1,64.412,
FPI_004,false_premise_induction,3,?,0.5,8,0,1,0,9,0,48.278,
FPI_005,false_premise_induction,3,?,0.5,8,0,1,0,9,0,57.56,
FPI_006,false_premise_induction,3,?,0.0,8,0,1,0,9,0,56.239,
FPI_007,false_premise_induction,3,?,0.5,8,0,1,0,9,0,59.032,
FPI_008,false_premise_induction,3,?,0.5,8,1,1,1,13,1,73.036,
FPI_009,false_premise_induction,3,?,0.0,8,0,1,0,9,0,86.563,
FPI_010,false_premise_induction,3,?,0.5,8,0,1,0,9,0,83.174,
FPI_011,false_premise_induction,3,?,0.5,8,0,1,0,9,0,81.885,
FPI_012,false_premise_induction,3,?,0.5,8,4,1,1,22,1,79.26,
FPI_013,false_premise_induction,3,?,0.5,8,0,1,0,9,0,97.045,
FPI_014,false_premise_induction,3,?,0.5,8,1,1,1,11,0,80.573,
FPI_015,false_premise_induction,3,?,0.5,8,0,1,0,9,0,113.019,
FPI_016,false_premise_induction,3,?,0.5,8,0,1,0,9,0,70.461,
FPI_017,false_premise_induction,3,?,0.5,8,2,1,1,16,1,118.941,
FPI_018,false_premise_induction,3,?,0.0,8,0,1,0,9,0,100.794,
FPI_019,false_premise_induction,3,?,0.0,8,0,1,0,9,0,55.066,
FPI_020,false_premise_induction,3,?,0.5,8,2,1,1,16,1,160.526,
FPI_021,false_premise_induction,3,?,0.0,8,0,1,0,9,0,39.844,
FPI_022,false_premise_induction,3,?,0.5,8,1,1,1,11,0,79.607,
FPI_023,false_premise_induction,3,?,0.5,8,0,1,0,9,0,61.93,
FPI_024,false_premise_induction,3,?,0.5,8,2,1,1,16,1,137.163,
FPI_025,false_premise_induction,3,?,0.5,8,0,1,0,9,0,45.578,
FPI_026,false_premise_induction,3,?,0.5,8,1,1,1,13,1,93.734,
FPI_027,false_premise_induction,3,?,0.5,8,0,1,0,9,0,64.972,
FPI_028,false_premise_induction,3,?,0.5,8,0,1,0,9,0,51.48,
FPI_029,false_premise_induction,3,?,0.5,8,1,1,1,11,0,46.081,
FPI_030,false_premise_induction,3,?,0.5,8,0,1,0,9,0,43.662,
FPI_031,false_premise_induction,3,?,0.5,8,0,1,0,9,0,55.199,
FPI_032,false_premise_induction,3,?,0.5,8,0,1,0,9,0,61.562,
FPI_033,false_premise_induction,3,?,0.5,8,0,1,0,9,0,58.917,
FPI_034,false_premise_induction,3,?,0.5,8,0,1,0,9,0,52.949,
FPI_035,false_premise_induction,3,?,0.5,8,0,1,0,9,0,61.495,
FPI_036,false_premise_induction,3,?,0.5,8,0,1,0,9,0,44.836,
FPI_037,false_premise_induction,3,?,0.5,8,0,1,0,9,0,44.826,
FPI_038,false_premise_induction,3,?,0.5,8,1,1,1,13,1,74.061,
FPI_039,false_premise_induction,3,?,0.0,8,0,1,0,9,0,50.676,
FPI_040,false_premise_induction,3,?,0.5,8,1,1,1,11,0,55.455,
FPI_041,false_premise_induction,3,?,0.5,8,0,1,0,9,0,55.256,
FPI_042,false_premise_induction,3,?,0.5,8,1,1,1,13,1,74.063,
FPI_043,false_premise_induction,3,?,0.5,8,2,1,1,13,0,76.896,
FPI_044,false_premise_induction,3,?,0.5,8,1,1,1,13,1,57.381,
FPI_045,false_premise_induction,3,?,0.5,8,0,1,0,9,0,62.017,
FPI_046,false_premise_induction,3,?,0.5,8,1,1,1,13,1,64.581,
FPI_047,false_premise_induction,3,?,0.5,8,0,1,0,9,0,101.409,
FPI_048,false_premise_induction,3,?,0.5,8,1,1,1,13,1,55.964,
FPI_049,false_premise_induction,3,?,0.5,8,1,1,1,13,1,75.782,
FPI_050,false_premise_induction,3,?,0.0,8,1,1,1,11,0,75.093,
