test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
FPI_001,false_premise_induction,3,?,0.5,8,1,1,1,11,0,40.286,
FPI_002,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.31,
FPI_003,false_premise_induction,3,?,0.5,8,0,1,0,9,0,41.92,
FPI_004,false_premise_induction,3,?,0.5,8,1,1,1,13,1,50.045,
FPI_005,false_premise_induction,3,?,0.5,8,1,1,1,13,1,38.843,
FPI_006,false_premise_induction,3,?,0.0,8,0,1,0,9,0,38.478,
FPI_007,false_premise_induction,3,?,0.5,8,1,1,1,13,1,37.037,
FPI_008,false_premise_induction,3,?,0.5,8,1,1,1,11,0,31.083,
FPI_009,false_premise_induction,3,?,0.0,8,0,1,0,9,0,36.188,
FPI_010,false_premise_induction,3,?,0.5,8,0,1,0,9,0,40.939,
FPI_011,false_premise_induction,3,?,0.5,8,1,1,1,13,1,45.657,
FPI_012,false_premise_induction,3,?,0.5,8,0,1,0,9,0,49.193,
FPI_013,false_premise_induction,3,?,0.5,8,1,1,1,13,1,46.863,
FPI_014,false_premise_induction,3,?,0.5,8,1,1,1,13,1,55.376,
FPI_015,false_premise_induction,3,?,0.5,8,8,1,1,20,1,52.147,
FPI_016,false_premise_induction,3,?,0.5,8,0,1,0,9,0,63.025,
FPI_017,false_premise_induction,3,?,0.5,8,1,1,1,13,1,52.362,
FPI_018,false_premise_induction,3,?,0.0,8,4,1,1,17,0,52.9,
FPI_019,false_premise_induction,3,?,0.0,8,1,1,1,13,1,52.436,
FPI_020,false_premise_induction,3,?,0.5,8,1,1,1,11,0,52.549,
FPI_021,false_premise_induction,3,?,0.5,8,7,1,1,19,1,72.32,
FPI_022,false_premise_induction,3,?,0.5,8,1,1,1,13,1,54.026,
FPI_023,false_premise_induction,3,?,0.5,8,0,1,0,9,0,53.614,
FPI_024,false_premise_induction,3,?,0.5,8,0,1,0,9,0,53.934,
FPI_025,false_premise_induction,3,?,0.5,8,0,1,0,9,0,69.132,
FPI_026,false_premise_induction,3,?,0.5,8,0,1,0,9,0,50.757,
FPI_027,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.616,
FPI_028,false_premise_induction,3,?,0.5,8,2,1,1,14,1,40.301,
FPI_029,false_premise_induction,3,?,0.5,8,1,1,1,13,1,31.045,
FPI_030,false_premise_induction,3,?,0.5,8,0,1,0,9,0,26.253,
FPI_031,false_premise_induction,3,?,0.5,8,2,1,1,16,1,33.174,
FPI_032,false_premise_induction,3,?,0.5,8,0,1,0,9,0,34.769,
FPI_033,false_premise_induction,3,?,0.5,8,1,1,1,13,1,44.84,
FPI_034,false_premise_induction,3,?,0.5,8,1,1,1,13,1,35.812,
