test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
FPI_001,false_premise_induction,3,?,0.5,8,1,1,1,13,1,41.807,
FPI_002,false_premise_induction,3,?,0.5,8,1,1,1,13,1,50.158,
FPI_003,false_premise_induction,3,?,0.0,8,0,1,0,9,0,45.486,
FPI_004,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.544,
FPI_005,false_premise_induction,3,?,0.5,8,0,1,0,9,0,26.685,
FPI_006,false_premise_induction,3,?,0.0,8,1,1,1,11,0,32.156,
FPI_007,false_premise_induction,3,?,0.5,8,1,1,1,11,0,42.971,
FPI_008,false_premise_induction,3,?,0.5,8,0,1,0,9,0,32.976,
FPI_009,false_premise_induction,3,?,0.0,8,1,1,1,11,0,29.753,
FPI_010,false_premise_induction,3,?,0.5,8,1,1,1,11,0,31.515,
FPI_011,false_premise_induction,3,?,0.5,8,1,1,1,13,1,41.135,
FPI_012,false_premise_induction,3,?,0.5,8,2,1,1,14,1,52.611,
FPI_013,false_premise_induction,3,?,0.5,8,0,1,0,9,0,52.901,
FPI_014,false_premise_induction,3,?,0.5,8,1,1,1,13,1,48.29,
FPI_015,false_premise_induction,3,?,0.5,8,2,1,1,12,0,61.4,
FPI_016,false_premise_induction,3,?,0.5,8,3,1,1,14,0,59.784,
FPI_017,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.568,
FPI_018,false_premise_induction,3,?,0.5,8,5,1,1,15,0,47.528,
FPI_019,false_premise_induction,3,?,0.5,8,2,1,1,14,1,53.928,
FPI_020,false_premise_induction,3,?,0.5,8,1,1,1,11,0,29.974,
FPI_021,false_premise_induction,3,?,0.5,8,7,1,1,19,1,39.169,
FPI_022,false_premise_induction,3,?,0.5,8,4,1,1,14,0,42.184,
FPI_023,false_premise_induction,3,?,0.5,8,1,1,1,13,1,52.049,
FPI_024,false_premise_induction,3,?,0.5,8,0,1,0,9,0,40.544,
FPI_025,false_premise_induction,3,?,0.5,8,0,1,0,9,0,46.083,
FPI_026,false_premise_induction,3,?,0.5,8,1,1,1,11,0,42.163,
FPI_027,false_premise_induction,3,?,0.5,8,1,1,1,11,0,40.025,
FPI_028,false_premise_induction,3,?,0.5,8,0,1,0,9,0,41.398,
FPI_029,false_premise_induction,3,?,0.5,8,2,1,1,16,1,56.394,
FPI_030,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.752,
FPI_031,false_premise_induction,3,?,0.5,8,1,1,1,13,1,37.834,
FPI_032,false_premise_induction,3,?,0.5,8,1,1,1,13,1,27.945,
FPI_033,false_premise_induction,3,?,0.5,8,1,1,1,11,0,63.435,
FPI_034,false_premise_induction,3,?,0.0,8,1,1,1,10,0,22.3,
FPI_035,false_premise_induction,3,?,0.5,8,0,1,0,9,0,29.935,
FPI_036,false_premise_induction,3,?,0.5,8,0,1,0,9,0,40.445,
FPI_037,false_premise_induction,3,?,0.5,8,0,1,0,9,0,42.742,
