test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
FQA_001,factual_single_turn,1,低,0.6666666666666666,8,1,1,1,11,0,40.807,
FQA_002,factual_single_turn,1,低,1.0,8,1,1,1,11,0,45.6,
FQA_003,factual_single_turn,1,低,1.0,8,0,1,0,9,0,39.438,
FQA_004,factual_single_turn,1,低,1.0,8,1,1,1,11,0,55.139,
FQA_005,factual_single_turn,1,低,1.0,8,0,1,0,9,0,41.066,
FQA_006,factual_single_turn,1,低,1.0,8,1,1,1,13,1,56.189,
FQA_007,factual_single_turn,1,低,1.0,8,0,1,0,9,0,39.002,
FQA_008,factual_single_turn,1,低,1.0,8,1,1,1,11,0,62.042,
FQA_009,factual_single_turn,1,低,1.0,8,1,1,1,11,0,50.296,
FQA_010,factual_single_turn,1,低,1.0,8,0,1,0,9,0,51.91,
FQA_011,factual_single_turn,1,低,1.0,8,0,1,0,9,0,50.447,
FQA_012,factual_single_turn,1,低,1.0,8,1,1,1,11,0,47.052,
FQA_013,factual_single_turn,1,低,1.0,8,1,1,1,13,1,53.52,
FQA_014,factual_single_turn,1,低,1.0,8,1,1,1,13,1,58.585,
FQA_015,factual_single_turn,1,低,1.0,8,1,1,1,11,0,31.922,
