test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
MIS_001,similar_entity_confusion,4,?,0.0,18,3,3,3,34,1,143.417,
MIS_002,similar_entity_confusion,4,?,0.75,20,2,3,2,30,0,180.82,
MIS_003,similar_entity_confusion,4,?,0.75,20,10,4,2,46,0,218.522,
MIS_004,similar_entity_confusion,4,?,0.6666666666666666,16,0,3,0,27,0,161.464,
MIS_005,similar_entity_confusion,4,?,0.6666666666666666,18,0,3,0,27,0,158.077,
MIS_006,similar_entity_confusion,4,?,0.75,20,2,3,1,31,0,153.227,
MIS_007,similar_entity_confusion,4,?,0.3333333333333333,23,2,4,1,45,1,157.067,
MIS_008,similar_entity_confusion,4,?,0.5,19,3,3,3,38,1,163.717,
MIS_009,similar_entity_confusion,4,?,0.5,22,2,3,2,31,0,156.167,
MIS_010,similar_entity_confusion,4,?,0.3333333333333333,18,2,3,2,33,0,156.92,
MIS_011,similar_entity_confusion,4,?,0.75,23,4,4,4,51,2,196.931,
MIS_012,similar_entity_confusion,4,?,0.3333333333333333,15,2,3,1,31,0,184.238,
MIS_013,similar_entity_confusion,4,?,0.3333333333333333,16,2,3,2,31,0,169.139,
MIS_014,similar_entity_confusion,4,?,0.3333333333333333,19,2,3,3,35,0,163.277,
MIS_015,similar_entity_confusion,4,?,0.25,20,9,4,2,51,0,204.268,
MIS_016,similar_entity_confusion,4,?,0.5,18,9,3,2,38,0,164.332,
MIS_017,similar_entity_confusion,4,?,0.25,20,1,3,1,31,1,176.87,
MIS_018,similar_entity_confusion,4,?,0.3333333333333333,18,3,3,3,43,2,170.985,
MIS_019,similar_entity_confusion,4,?,0.75,22,14,4,4,76,2,259.752,
MIS_020,similar_entity_confusion,4,?,0.3333333333333333,17,4,3,2,35,0,174.556,
MIS_021,similar_entity_confusion,4,?,0.0,19,2,3,2,31,0,150.773,
MIS_022,similar_entity_confusion,4,?,0.5,19,2,3,2,31,0,162.351,
MIS_023,similar_entity_confusion,4,?,0.6666666666666666,17,3,4,3,46,1,211.01,
MIS_024,similar_entity_confusion,4,?,0.3333333333333333,17,2,3,1,47,2,168.857,
MIS_025,similar_entity_confusion,4,?,0.6666666666666666,18,1,3,1,29,0,169.492,
MIS_026,similar_entity_confusion,4,?,0.75,20,3,3,2,37,1,156.571,
MIS_027,similar_entity_confusion,4,?,0.75,17,3,4,1,44,1,248.513,
MIS_028,similar_entity_confusion,4,?,0.5,16,2,3,1,31,0,182.146,
MIS_029,similar_entity_confusion,4,?,0.6666666666666666,15,6,3,3,48,1,143.915,
MIS_030,similar_entity_confusion,4,?,0.75,20,2,3,3,34,0,128.151,
MIS_031,similar_entity_confusion,4,?,0.75,17,4,4,2,50,2,159.041,
MIS_032,similar_entity_confusion,4,?,0.5,15,0,3,0,27,0,157.772,
MIS_033,similar_entity_confusion,4,?,0.6666666666666666,18,2,3,2,31,0,150.411,
MIS_034,similar_entity_confusion,4,?,0.75,19,2,3,3,40,2,152.071,
MIS_035,similar_entity_confusion,4,?,0.6666666666666666,17,8,4,4,68,4,254.34,
MIS_036,similar_entity_confusion,4,?,0.25,16,10,3,3,60,3,190.67,
