test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
MIS_001,similar_entity_confusion,4,?,0.6666666666666666,17,3,3,3,33,0,155.662,
MIS_002,similar_entity_confusion,4,?,0.5,19,2,3,3,35,0,168.346,
MIS_003,similar_entity_confusion,4,?,0.75,22,1,4,2,41,1,205.183,
MIS_004,similar_entity_confusion,4,?,0.3333333333333333,16,2,3,1,30,0,173.616,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_005,similar_entity_confusion,4,?,0.6666666666666666,17,2,3,2,36,2,154.043,
MIS_006,similar_entity_confusion,4,?,0.25,18,2,3,3,35,0,150.429,
MIS_007,similar_entity_confusion,4,?,0.3333333333333333,24,8,4,2,49,1,196.977,
MIS_008,similar_entity_confusion,4,?,0.5,20,11,3,3,40,0,142.7,
MIS_009,similar_entity_confusion,4,?,0.0,17,4,3,3,40,2,143.768,
MIS_010,similar_entity_confusion,4,?,0.6666666666666666,17,2,3,3,35,0,127.486,
MIS_011,similar_entity_confusion,4,?,0.25,22,2,4,2,50,2,204.684,
MIS_012,similar_entity_confusion,4,?,0.3333333333333333,16,0,3,0,27,0,152.813,
MIS_013,similar_entity_confusion,4,?,0.3333333333333333,11,2,2,2,20,0,104.301,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_014,similar_entity_confusion,4,?,0.3333333333333333,16,5,3,2,38,1,134.672,
MIS_015,similar_entity_confusion,4,?,0.25,17,9,4,3,55,1,166.425,
MIS_016,similar_entity_confusion,4,?,0.25,15,3,3,3,34,0,141.792,
MIS_017,similar_entity_confusion,4,?,0.25,15,1,3,1,29,0,146.72,
MIS_018,similar_entity_confusion,4,?,0.3333333333333333,17,4,3,3,43,2,150.38,
MIS_019,similar_entity_confusion,4,?,0.25,18,7,4,4,58,1,154.04,
MIS_020,similar_entity_confusion,4,?,0.6666666666666666,16,4,3,3,43,2,174.829,
MIS_021,similar_entity_confusion,4,?,0.0,17,1,3,1,29,0,152.086,
MIS_022,similar_entity_confusion,4,?,0.75,16,2,3,2,36,1,176.845,
MIS_023,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,46.369,Connection error.
MIS_024,similar_entity_confusion,4,?,0.3333333333333333,14,0,2,0,17,0,102.044,Connection error.
MIS_025,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,24.647,Connection error.
MIS_026,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,25.005,Connection error.
MIS_027,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,27.722,Connection error.
MIS_028,similar_entity_confusion,4,?,0.0,16,2,2,1,19,0,109.406,Connection error.
MIS_029,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,27.663,Connection error.
MIS_030,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,27.458,Connection error.
MIS_031,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,28.248,Connection error.
MIS_032,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,27.758,Connection error.
MIS_033,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,24.597,Connection error.
MIS_034,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,24.638,Connection error.
MIS_035,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,25.057,Connection error.
MIS_036,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,24.998,Connection error.
MIS_037,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,24.84,Connection error.
MIS_038,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,25.005,Connection error.
MIS_039,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,25.402,Connection error.
MIS_040,similar_entity_confusion,4,?,0.3333333333333333,15,2,3,1,31,0,122.486,
MIS_041,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,33.771,Connection error.
MIS_042,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,32.995,Connection error.
MIS_043,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,58.037,Connection error.
MIS_044,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,27.923,Connection error.
MIS_045,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,28.04,Connection error.
MIS_046,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,28.67,Connection error.
MIS_047,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,28.865,Connection error.
MIS_048,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,37.967,Connection error.
MIS_049,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,38.421,Connection error.
MIS_050,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,25.173,Connection error.
MIS_051,similar_entity_confusion,4,?,0.0,17,2,4,1,37,0,164.201,Connection error.
MIS_052,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,26.002,Connection error.
MIS_053,similar_entity_confusion,4,?,0.5,15,2,3,2,31,0,127.452,
MIS_054,similar_entity_confusion,4,?,0.5,17,3,3,2,32,0,131.308,
MIS_055,similar_entity_confusion,4,?,0.25,16,4,3,2,35,1,145.451,Connection error.
MIS_056,similar_entity_confusion,4,?,0.25,16,10,3,2,46,2,185.651,
MIS_057,similar_entity_confusion,4,?,0.25,15,1,3,1,31,1,144.633,
MIS_058,similar_entity_confusion,4,?,0.5,17,1,3,1,29,0,127.907,
MIS_059,similar_entity_confusion,4,?,0.25,18,5,4,3,56,2,176.174,
MIS_060,similar_entity_confusion,4,?,0.25,17,9,3,3,50,2,167.272,
MIS_061,similar_entity_confusion,4,?,0.5,15,3,3,2,33,0,149.872,
MIS_062,similar_entity_confusion,4,?,0.25,18,2,3,2,36,1,167.939,
MIS_063,similar_entity_confusion,4,?,0.5,18,2,4,1,40,1,183.786,Connection error.
MIS_064,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,29.691,Connection error.
MIS_065,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,30.435,Connection error.
MIS_066,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,30.076,Connection error.
MIS_067,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,29.57,Connection error.
MIS_068,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,29.729,Connection error.
MIS_069,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,30.614,Connection error.
MIS_070,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,30.689,Connection error.
MIS_071,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,29.459,Connection error.
MIS_072,similar_entity_confusion,4,?,0.0,8,0,1,0,8,0,29.492,Connection error.
