test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
MIS_001,similar_entity_confusion,4,?,0.6666666666666666,17,1,3,1,29,0,91.34,
MIS_002,similar_entity_confusion,4,?,0.5,19,2,3,2,36,1,80.034,
MIS_003,similar_entity_confusion,4,?,0.75,22,2,4,1,43,1,121.498,
MIS_004,similar_entity_confusion,4,?,0.3333333333333333,17,2,3,1,31,0,87.536,
MIS_005,similar_entity_confusion,4,?,0.6666666666666666,18,2,3,2,31,0,86.478,
MIS_006,similar_entity_confusion,4,?,0.75,20,2,3,2,35,1,95.324,
MIS_007,similar_entity_confusion,4,?,0.6666666666666666,24,10,4,2,65,1,112.626,
MIS_008,similar_entity_confusion,4,?,0.25,20,2,3,1,34,1,93.457,Error in __cdecl faiss::FileIOWriter::FileIOWriter(const char *) at D:\a\faiss-wheels\faiss-wheels\third-party\faiss\faiss\impl\io.cpp:104: Error: 'f' failed: could not open vector_db_bronze_peer\index.faiss for writing: Invalid argument
MIS_009,similar_entity_confusion,4,?,0.25,14,2,2,2,20,0,71.102,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_010,similar_entity_confusion,4,?,0.6666666666666666,19,2,3,3,38,1,96.717,
MIS_011,similar_entity_confusion,4,?,0.75,24,2,4,1,40,0,113.662,
MIS_012,similar_entity_confusion,4,?,0.6666666666666666,16,2,3,1,34,1,91.628,
MIS_013,similar_entity_confusion,4,?,0.6666666666666666,18,2,3,2,31,0,98.237,
MIS_014,similar_entity_confusion,4,?,0.6666666666666666,18,1,3,1,29,0,113.791,
MIS_015,similar_entity_confusion,4,?,0.25,22,0,4,0,36,0,158.469,
MIS_016,similar_entity_confusion,4,?,0.5,17,2,3,1,34,1,113.168,
MIS_017,similar_entity_confusion,4,?,0.25,20,9,3,2,37,0,102.339,
MIS_018,similar_entity_confusion,4,?,0.3333333333333333,17,3,3,3,43,2,129.24,
MIS_019,similar_entity_confusion,4,?,0.75,22,8,4,2,50,2,124.326,
MIS_020,similar_entity_confusion,4,?,0.3333333333333333,18,2,3,1,34,1,115.265,
MIS_021,similar_entity_confusion,4,?,0.5,19,1,3,1,31,1,118.68,
MIS_022,similar_entity_confusion,4,?,0.5,19,2,3,3,37,1,102.029,
MIS_023,similar_entity_confusion,4,?,0.3333333333333333,20,8,4,2,53,1,115.132,
MIS_024,similar_entity_confusion,4,?,0.3333333333333333,17,4,3,2,33,0,111.403,
MIS_025,similar_entity_confusion,4,?,0.6666666666666666,17,8,3,3,52,2,103.739,
MIS_026,similar_entity_confusion,4,?,0.75,16,2,3,3,35,0,107.865,
MIS_027,similar_entity_confusion,4,?,0.75,20,8,4,1,64,1,142.013,
MIS_028,similar_entity_confusion,4,?,0.75,19,3,3,2,30,0,113.964,
MIS_029,similar_entity_confusion,4,?,0.6666666666666666,16,1,3,1,29,0,123.36,
MIS_030,similar_entity_confusion,4,?,0.75,17,9,3,3,47,2,128.91,
MIS_031,similar_entity_confusion,4,?,0.5,19,4,4,3,47,2,179.772,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_032,similar_entity_confusion,4,?,0.75,18,10,3,2,54,1,134.962,
MIS_033,similar_entity_confusion,4,?,0.3333333333333333,9,2,2,2,20,0,89.966,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_034,similar_entity_confusion,4,?,0.75,15,2,3,2,36,1,127.286,
MIS_035,similar_entity_confusion,4,?,0.6666666666666666,18,2,4,1,43,1,141.803,
MIS_036,similar_entity_confusion,4,?,0.5,15,0,3,0,27,0,134.118,
MIS_037,similar_entity_confusion,4,?,0.25,17,1,3,1,29,0,127.362,
MIS_038,similar_entity_confusion,4,?,0.6666666666666666,15,2,3,2,33,0,146.221,
MIS_039,similar_entity_confusion,4,?,0.5,15,0,2,0,17,0,97.202,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_040,similar_entity_confusion,4,?,0.6666666666666666,15,3,3,2,36,1,130.847,
MIS_041,similar_entity_confusion,4,?,0.6666666666666666,17,1,3,1,28,0,129.812,
MIS_042,similar_entity_confusion,4,?,0.75,16,10,3,3,52,2,136.508,
MIS_043,similar_entity_confusion,4,?,0.6666666666666666,20,4,4,2,50,2,117.043,
MIS_044,similar_entity_confusion,4,?,0.25,16,3,3,2,38,2,94.011,
MIS_045,similar_entity_confusion,4,?,0.6666666666666666,15,3,3,3,31,0,89.179,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_046,similar_entity_confusion,4,?,0.3333333333333333,15,2,3,2,33,0,106.773,
MIS_047,similar_entity_confusion,4,?,0.75,21,1,4,1,40,1,155.487,
MIS_048,similar_entity_confusion,4,?,0.25,15,1,3,1,29,0,84.091,
MIS_049,similar_entity_confusion,4,?,0.5,18,2,3,2,33,1,96.216,
MIS_050,similar_entity_confusion,4,?,0.75,15,1,3,1,29,0,99.923,
MIS_051,similar_entity_confusion,4,?,0.75,18,5,4,2,52,2,140.859,
MIS_052,similar_entity_confusion,4,?,0.25,18,4,3,2,38,1,94.274,
MIS_053,similar_entity_confusion,4,?,0.25,18,2,3,2,31,0,85.592,
MIS_054,similar_entity_confusion,4,?,0.25,15,4,3,2,39,1,92.574,
MIS_055,similar_entity_confusion,4,?,0.5,16,5,4,3,57,2,134.012,
MIS_056,similar_entity_confusion,4,?,0.75,17,2,3,1,34,1,94.78,
MIS_057,similar_entity_confusion,4,?,0.75,17,0,3,0,27,0,73.801,
MIS_058,similar_entity_confusion,4,?,0.25,17,0,3,0,27,0,71.374,
MIS_059,similar_entity_confusion,4,?,0.5,15,0,3,0,26,0,81.361,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
MIS_060,similar_entity_confusion,4,?,0.25,15,2,3,1,34,1,116.868,
MIS_061,similar_entity_confusion,4,?,0.5,17,1,3,1,31,1,75.47,
MIS_062,similar_entity_confusion,4,?,0.0,15,2,2,2,27,1,66.204,Error in __cdecl faiss::FileIOWriter::FileIOWriter(const char *) at D:\a\faiss-wheels\faiss-wheels\third-party\faiss\faiss\impl\io.cpp:104: Error: 'f' failed: could not open vector_db_bronze_peer\index.faiss for writing: Invalid argument
MIS_063,similar_entity_confusion,4,?,0.25,16,7,4,4,67,2,101.384,
MIS_064,similar_entity_confusion,4,?,0.25,17,8,3,3,60,3,119.506,
MIS_065,similar_entity_confusion,4,?,0.25,20,3,3,3,33,0,127.362,
MIS_066,similar_entity_confusion,4,?,0.25,18,3,3,3,41,2,132.85,
MIS_067,similar_entity_confusion,4,?,0.5,20,10,4,3,68,3,155.049,
MIS_068,similar_entity_confusion,4,?,0.25,17,5,3,2,39,1,144.819,
MIS_069,similar_entity_confusion,4,?,0.5,17,2,3,2,30,0,130.3,
MIS_070,similar_entity_confusion,4,?,0.75,18,2,3,2,33,1,130.601,
MIS_071,similar_entity_confusion,4,?,0.6666666666666666,19,2,4,1,40,0,181.355,
MIS_072,similar_entity_confusion,4,?,0.25,19,11,3,3,55,3,140.242,
