test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
REP_001,repetition_reinforcement_induction,4,??,0.5,28,2,6,3,70,3,282.897,
REP_002,repetition_reinforcement_induction,4,??,0.5,29,4,6,5,84,4,196.817,
REP_003,repetition_reinforcement_induction,4,??,0.5,25,6,7,7,115,6,187.007,
REP_004,repetition_reinforcement_induction,4,??,0.5,28,4,6,6,91,5,191.449,
REP_005,repetition_reinforcement_induction,4,??,0.0,25,3,6,5,80,3,178.976,
REP_006,repetition_reinforcement_induction,4,??,0.5,20,3,7,5,88,3,187.674,
REP_007,repetition_reinforcement_induction,4,??,0.5,11,0,3,0,26,0,77.838,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_008,repetition_reinforcement_induction,4,??,0.5,14,1,6,2,60,1,166.734,
REP_009,repetition_reinforcement_induction,4,??,0.5,17,9,7,6,107,6,205.111,
REP_010,repetition_reinforcement_induction,4,??,0.5,15,5,6,6,81,2,150.966,
REP_011,repetition_reinforcement_induction,4,??,0.5,17,4,6,5,90,5,164.682,
REP_012,repetition_reinforcement_induction,4,??,0.5,18,2,7,5,81,1,182.523,
REP_013,repetition_reinforcement_induction,4,??,0.5,23,7,6,6,116,6,161.881,
REP_014,repetition_reinforcement_induction,4,??,0.5,13,4,6,5,95,5,178.124,
REP_015,repetition_reinforcement_induction,4,??,0.5,19,3,7,5,90,4,221.66,
REP_016,repetition_reinforcement_induction,4,??,0.5,17,2,6,3,69,3,203.121,
REP_017,repetition_reinforcement_induction,4,??,0.5,15,3,6,4,78,4,202.846,
REP_018,repetition_reinforcement_induction,4,??,0.5,20,9,7,6,112,6,217.079,
REP_019,repetition_reinforcement_induction,4,??,0.5,16,1,6,4,68,3,175.751,
REP_020,repetition_reinforcement_induction,4,??,0.5,14,1,6,3,66,3,184.112,
REP_021,repetition_reinforcement_induction,4,??,0.5,18,4,7,6,100,4,231.747,
REP_022,repetition_reinforcement_induction,4,??,0.5,17,4,6,6,97,3,204.916,
REP_023,repetition_reinforcement_induction,4,??,0.5,19,3,6,5,84,4,197.746,
REP_024,repetition_reinforcement_induction,4,??,0.5,14,2,5,5,56,1,128.346,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_025,repetition_reinforcement_induction,4,??,0.0,8,0,1,0,8,0,32.337,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_026,repetition_reinforcement_induction,4,??,0.5,19,1,6,4,70,4,198.234,
REP_027,repetition_reinforcement_induction,4,??,0.0,8,1,1,1,11,1,36.006,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REP_028,repetition_reinforcement_induction,4,??,0.5,12,9,6,3,77,3,169.334,
REP_029,repetition_reinforcement_induction,4,??,0.5,15,5,6,6,99,5,180.192,
REP_030,repetition_reinforcement_induction,4,??,0.5,20,10,7,4,90,3,269.692,
REP_031,repetition_reinforcement_induction,4,??,0.5,19,3,6,6,85,4,177.499,
REP_032,repetition_reinforcement_induction,4,??,0.5,18,1,6,3,64,2,211.18,
REP_033,repetition_reinforcement_induction,4,??,0.0,21,2,7,5,86,4,220.384,
REP_034,repetition_reinforcement_induction,4,??,0.5,25,5,6,6,88,5,243.248,
REP_035,repetition_reinforcement_induction,4,??,0.5,14,2,6,6,81,6,236.729,
REP_036,repetition_reinforcement_induction,4,??,0.5,17,2,7,7,92,6,304.438,
REP_037,repetition_reinforcement_induction,4,??,0.5,18,5,6,5,92,5,267.218,
REP_038,repetition_reinforcement_induction,4,??,0.5,20,4,6,3,71,1,291.296,
REP_039,repetition_reinforcement_induction,4,??,0.5,22,9,7,3,97,2,369.924,
REP_040,repetition_reinforcement_induction,4,??,0.5,18,2,6,3,66,2,258.845,
REP_041,repetition_reinforcement_induction,4,??,0.5,19,1,6,5,72,4,293.312,
REP_042,repetition_reinforcement_induction,4,??,0.5,23,2,7,5,89,5,483.464,
REP_043,repetition_reinforcement_induction,4,??,0.5,23,2,6,4,71,3,258.054,
REP_044,repetition_reinforcement_induction,4,??,0.5,15,3,6,4,81,3,238.476,
REP_045,repetition_reinforcement_induction,4,??,0.5,17,5,7,4,77,1,589.846,
REP_046,repetition_reinforcement_induction,4,??,0.0,19,1,6,6,70,2,201.392,
REP_047,repetition_reinforcement_induction,4,??,0.5,20,3,6,5,79,3,333.912,
REP_048,repetition_reinforcement_induction,4,??,0.5,10,5,2,2,38,2,54.818,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
