test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
REV_001,correction_repair_test,5,??,0.5,38,3,7,3,82,3,221.223,
REV_002,correction_repair_test,5,??,0.5,33,13,7,6,105,4,235.014,
REV_003,correction_repair_test,5,??,0.5,31,4,6,4,68,3,191.991,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REV_004,correction_repair_test,5,??,0.5,32,5,8,5,105,5,304.137,
REV_005,correction_repair_test,5,??,0.5,23,2,4,2,46,2,119.605,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REV_006,correction_repair_test,5,??,0.5,31,2,7,4,85,4,228.276,
REV_007,correction_repair_test,5,??,0.5,31,1,7,2,69,1,268.201,
REV_008,correction_repair_test,5,??,0.5,25,2,8,5,93,2,271.772,
REV_009,correction_repair_test,5,??,0.5,32,2,7,2,72,2,254.058,
REV_010,correction_repair_test,5,??,0.5,30,5,7,3,74,2,259.832,
REV_011,correction_repair_test,5,??,0.5,24,2,7,4,80,2,264.956,
REV_012,correction_repair_test,5,??,0.0,29,10,8,5,107,4,274.635,
REV_013,correction_repair_test,5,??,0.5,30,7,7,6,93,5,235.513,
REV_014,correction_repair_test,5,??,0.5,23,3,7,6,83,4,318.993,
REV_015,correction_repair_test,5,??,0.5,26,9,7,6,95,3,302.167,
REV_016,correction_repair_test,5,??,0.5,31,13,8,7,128,6,348.278,
REV_017,correction_repair_test,5,??,0.5,30,9,7,6,103,4,257.692,
REV_018,correction_repair_test,5,??,0.0,33,8,7,6,106,5,235.25,
REV_019,correction_repair_test,5,??,0.5,25,8,7,4,88,4,239.916,
REV_020,correction_repair_test,5,??,0.5,28,8,8,5,100,4,296.874,
REV_021,correction_repair_test,5,??,0.5,26,5,7,3,80,3,244.896,
REV_022,correction_repair_test,5,??,0.5,28,9,7,5,96,5,217.964,
REV_023,correction_repair_test,5,??,0.5,29,8,7,6,93,4,195.309,
REV_024,correction_repair_test,5,??,0.5,26,11,8,6,106,2,263.102,
REV_025,correction_repair_test,5,??,0.5,27,7,7,5,93,4,213.376,
REV_026,correction_repair_test,5,??,0.5,33,11,7,3,90,1,195.272,
REV_027,correction_repair_test,5,??,0.5,30,8,7,5,90,4,263.06,
REV_028,correction_repair_test,5,??,0.0,35,15,8,7,127,5,268.926,
REV_029,correction_repair_test,5,??,0.5,30,7,7,7,103,7,197.492,
REV_030,correction_repair_test,5,??,0.5,34,10,7,7,108,6,205.159,
REV_031,correction_repair_test,5,??,0.5,30,4,7,5,84,4,209.118,
REV_032,correction_repair_test,5,??,0.5,31,10,8,7,114,5,211.396,
REV_033,correction_repair_test,5,??,0.0,37,7,7,4,91,4,236.685,
REV_034,correction_repair_test,5,??,0.5,30,13,7,6,113,5,212.675,
REV_035,correction_repair_test,5,??,0.5,28,10,7,7,109,4,166.923,
REV_036,correction_repair_test,5,??,0.5,34,14,8,8,122,6,200.687,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REV_037,correction_repair_test,5,??,0.5,31,7,7,5,86,3,184.419,
REV_038,correction_repair_test,5,??,0.5,35,10,7,5,104,4,201.79,
REV_039,correction_repair_test,5,??,0.5,35,5,7,3,82,3,175.572,
REV_040,correction_repair_test,5,??,0.5,35,6,8,5,99,3,209.9,
