test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
REV_001,correction_repair_test,5,??,0.5,38,3,7,2,73,1,229.953,
REV_002,correction_repair_test,5,??,0.5,36,2,7,4,82,4,249.284,
REV_003,correction_repair_test,5,??,0.0,8,0,1,0,8,0,43.179,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
REV_004,correction_repair_test,5,??,0.5,46,6,8,4,96,4,401.145,
REV_005,correction_repair_test,5,??,0.5,39,7,7,6,95,4,342.008,
REV_006,correction_repair_test,5,??,0.5,38,7,7,6,110,5,351.326,
REV_007,correction_repair_test,5,??,0.5,34,8,7,6,109,4,387.48,
REV_008,correction_repair_test,5,??,0.5,36,8,8,7,120,6,425.07,
REV_009,correction_repair_test,5,??,0.5,36,6,7,5,89,4,351.936,
REV_010,correction_repair_test,5,??,0.5,37,12,7,5,100,5,290.127,Connection error.
REV_011,correction_repair_test,5,??,0.5,30,6,7,5,88,4,222.082,
REV_012,correction_repair_test,5,??,0.5,31,8,8,6,107,4,263.007,
REV_013,correction_repair_test,5,??,0.5,30,7,7,5,96,4,249.597,
REV_014,correction_repair_test,5,??,0.5,30,9,7,6,109,5,220.839,
REV_015,correction_repair_test,5,??,0.5,28,18,7,6,118,4,221.537,
REV_016,correction_repair_test,5,??,0.5,33,4,8,5,107,5,253.336,
REV_017,correction_repair_test,5,??,0.5,31,7,7,6,100,5,212.205,
REV_018,correction_repair_test,5,??,0.5,30,11,7,5,100,4,193.215,
REV_019,correction_repair_test,5,??,0.5,30,6,7,4,86,3,233.697,
REV_020,correction_repair_test,5,??,0.5,31,10,8,6,111,3,282.177,
REV_021,correction_repair_test,5,??,0.5,32,10,7,5,95,5,198.533,
REV_022,correction_repair_test,5,??,0.5,33,19,7,6,104,3,209.856,
REV_023,correction_repair_test,5,??,0.5,32,4,7,5,98,5,250.904,
REV_024,correction_repair_test,5,??,0.5,30,13,8,4,102,3,278.356,
REV_025,correction_repair_test,5,??,0.5,32,5,7,5,91,5,233.739,
REV_026,correction_repair_test,5,??,0.5,37,11,7,6,101,5,245.443,
REV_027,correction_repair_test,5,??,0.5,33,17,7,7,105,3,203.483,
REV_028,correction_repair_test,5,??,0.0,37,13,8,7,116,6,278.338,
REV_029,correction_repair_test,5,??,0.5,30,6,7,5,93,5,219.85,
REV_030,correction_repair_test,5,??,0.5,38,9,7,5,88,3,264.564,
REV_031,correction_repair_test,5,??,0.0,34,9,7,3,82,3,228.049,
REV_032,correction_repair_test,5,??,0.5,33,1,8,3,84,3,276.832,
REV_033,correction_repair_test,5,??,0.5,40,6,7,6,91,4,258.136,
REV_034,correction_repair_test,5,??,0.5,32,6,7,4,88,3,198.153,
REV_035,correction_repair_test,5,??,0.5,33,9,7,3,96,3,206.715,
REV_036,correction_repair_test,5,??,0.5,35,9,8,5,97,2,250.783,
REV_037,correction_repair_test,5,??,0.5,36,10,7,3,99,3,237.814,
REV_038,correction_repair_test,5,??,0.5,39,3,7,4,83,3,189.817,
REV_039,correction_repair_test,5,??,0.0,34,9,7,4,98,3,253.819,
REV_040,correction_repair_test,5,??,0.5,31,13,8,6,122,5,275.535,
