test_id,test_category,difficulty,hallucination_risk,assertion_pass_rate,retrieved_memory_count,used_memory_count,retrieval_log_count,usage_log_count,graph_edge_count,verifier_log_count,elapsed_seconds,error
FPI_001,false_premise_induction,3,?,0.5,8,0,1,0,9,0,47.562,
FPI_002,false_premise_induction,3,?,0.5,8,1,1,1,13,1,65.224,
FPI_003,false_premise_induction,3,?,0.0,8,1,1,1,11,0,77.172,
FPI_004,false_premise_induction,3,?,0.5,8,1,1,1,13,1,68.465,
FPI_005,false_premise_induction,3,?,0.5,8,1,1,1,13,1,99.593,
FPI_006,false_premise_induction,3,?,0.0,8,2,1,1,16,1,57.151,
FPI_007,false_premise_induction,3,?,0.5,8,0,1,0,9,0,56.317,
FPI_008,false_premise_induction,3,?,0.5,8,0,1,0,9,0,55.229,
FPI_009,false_premise_induction,3,?,0.5,8,1,1,1,11,0,81.368,
FPI_010,false_premise_induction,3,?,0.5,8,1,1,1,13,1,60.205,
FPI_011,false_premise_induction,3,?,0.5,8,1,1,1,13,1,49.416,
FPI_012,false_premise_induction,3,?,0.5,8,2,1,1,16,1,48.925,
FPI_013,false_premise_induction,3,?,0.5,8,0,1,0,9,0,36.113,
FPI_014,false_premise_induction,3,?,0.5,8,0,1,0,9,0,37.823,
FPI_015,false_premise_induction,3,?,0.5,8,1,1,1,13,1,42.279,
FPI_016,false_premise_induction,3,?,0.5,8,0,1,0,9,0,49.769,
FPI_017,false_premise_induction,3,?,0.5,8,1,1,1,13,1,63.843,
FPI_018,false_premise_induction,3,?,0.5,8,0,1,0,9,0,46.605,
FPI_019,false_premise_induction,3,?,0.0,8,1,1,1,11,0,89.175,
FPI_020,false_premise_induction,3,?,0.5,8,1,1,1,13,1,64.538,
FPI_021,false_premise_induction,3,?,0.5,8,0,1,0,9,0,81.347,
FPI_022,false_premise_induction,3,?,0.5,8,0,1,0,9,0,75.618,
FPI_023,false_premise_induction,3,?,0.5,8,0,1,0,9,0,64.383,
FPI_024,false_premise_induction,3,?,0.5,8,2,1,1,13,0,82.404,
FPI_025,false_premise_induction,3,?,0.5,8,1,1,1,13,1,106.273,
FPI_026,false_premise_induction,3,?,0.5,8,0,1,0,9,0,53.526,
FPI_027,false_premise_induction,3,?,0.5,8,0,1,0,9,0,70.763,
FPI_028,false_premise_induction,3,?,0.5,8,1,1,1,13,1,94.488,
FPI_029,false_premise_induction,3,?,0.5,8,1,1,1,11,0,66.263,
FPI_030,false_premise_induction,3,?,0.5,8,1,1,1,13,1,61.586,
FPI_031,false_premise_induction,3,?,0.5,8,0,1,0,9,0,55.72,
FPI_032,false_premise_induction,3,?,0.5,8,1,1,1,13,1,66.555,
FPI_033,false_premise_induction,3,?,0.5,8,0,1,0,9,0,66.714,
FPI_034,false_premise_induction,3,?,0.5,8,1,1,1,13,1,55.468,
FPI_035,false_premise_induction,3,?,0.5,8,0,1,0,9,0,59.246,
FPI_036,false_premise_induction,3,?,0.5,8,0,1,0,9,0,51.602,
FPI_037,false_premise_induction,3,?,0.5,8,0,1,0,9,0,75.347,
FPI_038,false_premise_induction,3,?,0.5,8,1,1,1,13,1,66.952,
FPI_039,false_premise_induction,3,?,0.5,8,0,1,0,9,0,62.111,
FPI_040,false_premise_induction,3,?,0.5,8,1,1,1,13,1,73.857,
FPI_041,false_premise_induction,3,?,0.5,8,0,1,0,9,0,61.75,
FPI_042,false_premise_induction,3,?,0.5,8,0,1,0,9,0,78.241,
FPI_043,false_premise_induction,3,?,0.5,8,1,1,1,13,1,61.878,
FPI_044,false_premise_induction,3,?,0.5,8,0,1,0,9,0,42.454,
FPI_045,false_premise_induction,3,?,0.5,8,0,1,0,9,0,87.507,
FPI_046,false_premise_induction,3,?,0.5,8,0,1,0,9,0,43.744,
FPI_047,false_premise_induction,3,?,0.5,8,1,1,1,10,0,55.928,
FPI_048,false_premise_induction,3,?,0.5,8,0,1,0,9,0,39.148,
FPI_049,false_premise_induction,3,?,0.5,8,1,1,1,11,0,98.768,
FPI_050,false_premise_induction,3,?,0.5,8,0,1,0,9,0,41.395,
FPI_051,false_premise_induction,3,?,0.5,8,0,1,0,9,0,41.975,
FPI_052,false_premise_induction,3,?,0.5,8,1,1,1,11,0,56.655,
FPI_053,false_premise_induction,3,?,0.0,8,0,1,0,9,0,59.765,
FPI_054,false_premise_induction,3,?,0.5,8,0,1,0,9,0,42.802,
FPI_055,false_premise_induction,3,?,0.5,8,0,1,0,9,0,40.708,
FPI_056,false_premise_induction,3,?,0.0,8,0,1,0,8,0,60.713,[Errno 22] Invalid argument: 'bronze_memory_peer.json'
FPI_057,false_premise_induction,3,?,0.5,8,1,1,1,13,1,65.26,
FPI_058,false_premise_induction,3,?,0.5,8,0,1,0,9,0,47.706,
FPI_059,false_premise_induction,3,?,0.5,8,1,1,1,13,1,55.78,
FPI_060,false_premise_induction,3,?,0.5,8,0,1,0,9,0,41.384,
FPI_061,false_premise_induction,3,?,0.5,8,0,1,0,9,0,71.545,
FPI_062,false_premise_induction,3,?,0.5,8,0,1,0,9,0,50.449,
FPI_063,false_premise_induction,3,?,0.5,8,1,1,1,13,1,57.789,
FPI_064,false_premise_induction,3,?,0.5,8,0,1,0,9,0,70.52,
FPI_065,false_premise_induction,3,?,0.5,8,1,1,1,13,1,80.468,
FPI_066,false_premise_induction,3,?,0.5,8,0,1,0,9,0,48.581,
FPI_067,false_premise_induction,3,?,0.5,8,1,1,1,13,1,55.698,
FPI_068,false_premise_induction,3,?,0.5,8,1,1,1,11,0,62.664,
FPI_069,false_premise_induction,3,?,0.5,8,4,1,1,22,1,74.37,
FPI_070,false_premise_induction,3,?,0.5,8,0,1,0,9,0,46.773,
FPI_071,false_premise_induction,3,?,0.5,8,0,1,0,9,0,46.676,
FPI_072,false_premise_induction,3,?,0.0,8,1,1,1,11,0,54.88,
FPI_073,false_premise_induction,3,?,0.0,8,1,1,1,13,1,54.114,
FPI_074,false_premise_induction,3,?,0.5,8,1,1,1,13,1,42.34,
FPI_075,false_premise_induction,3,?,0.5,8,1,1,1,13,1,35.326,
FPI_076,false_premise_induction,3,?,0.5,8,1,1,1,13,1,48.608,
FPI_077,false_premise_induction,3,?,0.5,8,3,1,1,17,1,64.686,
FPI_078,false_premise_induction,3,?,0.5,8,0,1,0,9,0,76.009,
FPI_079,false_premise_induction,3,?,0.5,8,0,1,0,9,0,42.932,
FPI_080,false_premise_induction,3,?,0.5,8,0,1,0,9,0,36.123,
